record_id,severity,code,field,message
atlas-weltmuseum-wien-8c355ea381,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-weltmuseum-wien-8c355ea381,warning,unclear_ownership,current_ownership_status,Current legal ownership is unclear.
atlas-weltmuseum-wien-8c355ea381,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-weltmuseum-wien-8c355ea381,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-weltmuseum-wien-f55af5cef6,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-weltmuseum-wien-f55af5cef6,warning,unclear_ownership,current_ownership_status,Current legal ownership is unclear.
atlas-weltmuseum-wien-f55af5cef6,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-weltmuseum-wien-f55af5cef6,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-museum-of-archaeology-and-anthropology-university-of-cambridge-7a7e5418a6,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-museum-of-archaeology-and-anthropology-university-of-cambridge-7a7e5418a6,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-museum-of-archaeology-and-anthropology-university-of-cambridge-7a7e5418a6,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-museum-of-archaeology-and-anthropology-university-of-cambridge-086d81d7db,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-museum-of-archaeology-and-anthropology-university-of-cambridge-086d81d7db,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-pitt-rivers-museum-d9eb4c677d,warning,unclear_1897_status,expedition_1897_status,The relationship to the 1897 expedition is unresolved.
atlas-pitt-rivers-museum-d9eb4c677d,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-pitt-rivers-museum-d9eb4c677d,warning,unclear_ownership,current_ownership_status,Current legal ownership is unclear.
atlas-pitt-rivers-museum-d9eb4c677d,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-pitt-rivers-museum-d9eb4c677d,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-national-museums-scotland-national-museum-of-scotland-dbd128fa5a,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-national-museums-scotland-national-museum-of-scotland-dbd128fa5a,warning,unclear_ownership,current_ownership_status,Current legal ownership is unclear.
atlas-national-museums-scotland-national-museum-of-scotland-dbd128fa5a,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-national-museums-scotland-national-museum-of-scotland-dbd128fa5a,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-national-museums-scotland-national-museum-of-scotland-dbd128fa5a,info,collection_level_record,record_level,"This row describes a collection or count, not one individual object."
atlas-university-of-aberdeen-museums-and-special-collections-ba14ac905f,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-university-of-aberdeen-museums-and-special-collections-ba14ac905f,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-rautenstrauch-joest-museum-5d310f2b5c,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-rautenstrauch-joest-museum-5d310f2b5c,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-rautenstrauch-joest-museum-5d310f2b5c,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-rautenstrauch-joest-museum-5d310f2b5c,info,collection_level_record,record_level,"This row describes a collection or count, not one individual object."
atlas-rautenstrauch-joest-museum-5b6c87d9b8,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-rautenstrauch-joest-museum-5b6c87d9b8,warning,unclear_ownership,current_ownership_status,Current legal ownership is unclear.
atlas-rautenstrauch-joest-museum-5b6c87d9b8,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-rautenstrauch-joest-museum-5b6c87d9b8,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-staatliche-ethnographische-sammlungen-sachsen-skd-f87dcac734,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-staatliche-ethnographische-sammlungen-sachsen-skd-f87dcac734,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-staatliche-ethnographische-sammlungen-sachsen-skd-f87dcac734,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-staatliche-ethnographische-sammlungen-sachsen-skd-f87dcac734,info,collection_level_record,record_level,"This row describes a collection or count, not one individual object."
atlas-staatliche-ethnographische-sammlungen-sachsen-skd-2b5a845959,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-staatliche-ethnographische-sammlungen-sachsen-skd-2b5a845959,warning,unclear_ownership,current_ownership_status,Current legal ownership is unclear.
atlas-staatliche-ethnographische-sammlungen-sachsen-skd-2b5a845959,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-staatliche-ethnographische-sammlungen-sachsen-skd-2b5a845959,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-markk-hamburg-fdb1c414a8,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-markk-hamburg-fdb1c414a8,warning,unclear_ownership,current_ownership_status,Current legal ownership is unclear.
atlas-markk-hamburg-fdb1c414a8,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-markk-hamburg-fdb1c414a8,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-markk-hamburg-fdb1c414a8,info,collection_level_record,record_level,"This row describes a collection or count, not one individual object."
atlas-markk-hamburg-15637cd184,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-markk-hamburg-15637cd184,warning,unclear_ownership,current_ownership_status,Current legal ownership is unclear.
atlas-markk-hamburg-15637cd184,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
atlas-markk-hamburg-15637cd184,warning,missing_image_rights,image_rights,"An image is reported available, but rights are not documented."
atlas-mkg-hamburg-b6db742bdd,warning,digital_benin_unresolved,digital_benin_match_status,Digital Benin matching work remains unresolved.
atlas-mkg-hamburg-b6db742bdd,warning,unclear_ownership,current_ownership_status,Current legal ownership is unclear.
atlas-mkg-hamburg-b6db742bdd,warning,unclear_physical_location,current_physical_location,Current physical location is unclear.
