accession_number,image_file,caption,section,appendix,source_page,image_status,notes
1898.26.1.1,1898.26.1.1_1.png,Brass powder cylinder and cover photograph,2.13,Appendix 4,53,available,Shared image with 1898.26.1.2
1898.26.1.2,1898.26.1.1_1.png,Brass powder cylinder and cover photograph,2.13,Appendix 4,53,available,Shared image with 1898.26.1.1
1899.70.2,,No image currently available,2.10,Appendix 4,53,no_image,Explicitly marked as no image currently available
1899.86.12,1899.86.12.png,Bronze plaque with the image of a serpent,2.4,Appendix 4,55,available,
1899.86.13,1899.86.13.png,Bronze foot broken from a figure,2.4,Appendix 4,56,available,
1900.1.4,1900.1.4.png,Wooden sansa-type musical instrument,2.4,Appendix 4,57,available,
1900.1.5,1900.1.5.png,Wooden sansa-type musical instrument,2.4,Appendix 4,58,available,
1900.1.7,1900.1.7.png,Model / object photographed in Appendix 5,3.2,Appendix 5,178,available,Section marker on page points to Section 3.2
1900.32.4,1900.32.4_2.png,"String of cylindrical coral beads, possibly from a ceremonial fly-whisk",2.7,Appendix 4,59,available,
1900.39.1,1900.39.1.png,Brass relief plaque depicting a human figure,2.3,Appendix 4,60,available,
1900.39.2,1900.39.2_1.png,Brass relief plaque depicting a fish,2.3,Appendix 4,61,available,
1900.39.3,1900.39.3.png,Brass sculpture or altar-piece in the form of a morion-shaped helmet,2.3,Appendix 4,62,available,
1900.39.4,1900.39.4.png,Brass ceremonial casket with cover and suspension chain,2.3,Appendix 4,63,available,
1900.39.5,1900.39.5.png,Brass staff with the figure of a bird,2.3,Appendix 4,64,available,
1900.39.6,1900.39.6.png,Bronze hip-ornament mask,2.3,Appendix 4,65,available,
1900.39.7,1900.39.7.png,Bronze hip-ornament mask depicting a ram's head,2.3,Appendix 4,66,available,
1900.39.8,1900.39.8_1.png,Bronze hip-ornament mask depicting a crocodile's head,2.3,Appendix 4,67,available,
1900.39.9,1900.39.9.png,Bronze hip-ornament mask depicting a crocodile's head,2.3,Appendix 4,68,available,
1900.39.10,1900.39.10_1.png,Bronze bell,2.3,Appendix 4,69,available,
1900.39.21,1900.39.21.png,Ivory door-bolt from the Royal Palace,2.3,Appendix 4,80,available,
1900.39.22,1900.39.22_1.png,Brass ceremonial fan with repoussé decoration,2.3,Appendix 4,81,available,
1900.39.23,1900.39.23.png,"Wooden lidded bowl or casket overlaid with brass, in the form of an animal's head",2.3,Appendix 4,82,available,
1900.39.24,1900.39.24.png,"Wooden figure of a horse-rider, probably broken from a staff",2.3,Appendix 4,83,available,
1900.39.26,1900.39.26.png,Carved coconut vessel with incised guilloché decoration,2.3,Appendix 4,85,available,
1900.39.27.1|1900.39.27.2,1900.39.27.1.png,Iron armlets containing jingling pellets,2.3,Appendix 4,86,available,Combined image for both accession numbers
1900.74.1,1900.74.1.png,Brass vessel,2.10,Appendix 4,87,available,
1900.74.2,1900.74.2.png,Brass armlet with openwork decoration,2.10,Appendix 4,88,available,
1900.74.3,1900.74.3.png,Bronze bracelet,2.10,Appendix 4,89,available,
1901.53.2,1901.53.2.png,Bronze arm-ring,2.4,Appendix 4,90,available,
1901.53.3,1901.53.3.png,Bronze arm-ring,2.4,Appendix 4,91,available,
1901.53.4,1901.53.4.png,Bronze pellet bell,2.4,Appendix 4,92,available,
1901.53.5,,Bronze pellet bell,2.4,Appendix 4,92,no_image,Marked 'NO IMAGE' on source page
1901.53.6,1901.53.6.png,Bronze pellet bell,2.4,Appendix 4,93,available,
1901.54.1,1901.54.1.png,Ground stone axe mounted in bronze,2.4,Appendix 4,96,available,
1901.54.2,1901.54.2.png,Bronze weight,2.4,Appendix 4,97,available,
1901.56.1,1901.56.1.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,2.4,Appendix 4,98,available,
1901.56.2,1901.56.2.png,Bronze pendant from a ceremonial necklace in the form of a polished stone axe,2.4,Appendix 4,99,available,
