accession_number,title,description,provenance,provenance_detail,section,publication_notes,status,description_source_page,primary_image_file,primary_image_caption,image_appendix,image_source_page,image_status,image_count,has_description,has_image,matched
1898.26.1.1,,Brass powder cylinder,Felix Norman Roth,"Purchased by the Pitt Rivers Museum from Henry Ling Roth, brother of Felix. See discussion in Section 2.13",2.13,Listed in Dark 1982 on p. 2.1.33 as B9/56,confirmed_1897,31,1898.26.1.1_1.png,Brass powder cylinder and cover photograph,Appendix 4,53,available,1,true,true,true
1898.26.1.2,,Brass powder cylinder cover,Felix Norman Roth,"Purchased by the Pitt Rivers Museum from Henry Ling Roth, brother of Felix. See discussion in Section 2.13",2.13,Listed in Dark 1982 on p. 2.1.33 as B9/56,confirmed_1897,31,1898.26.1.1_1.png,Brass powder cylinder and cover photograph,Appendix 4,53,available,1,true,true,true
1899.70.2,,Tortoise-shell drum with a canework loop,George Fabian Lawrence,Purchased by the Pitt Rivers Museum from George Fabian Lawrence in 1899. See discussion in Section 2.10,2.10,Listed in Dark 1982 on p. 2.1.32 as B9/12,confirmed_1897,31,,No image currently available,Appendix 4,53,no_image,1,true,false,true
1899.78.4.1,,Wooden weaving sword,William Downing Webster,Purchased by the Pitt Rivers Museum from William Downing Webster in 1899. See discussion in Section 2.5,2.5,Listed in Dark 1982 on p. 2.1.33 as RO/20 - RO/27,confirmed_1897,31,,,,,,0,true,false,false
1899.78.4.2,,Wooden weaving sword,William Downing Webster,Purchased by the Pitt Rivers Museum from William Downing Webster in 1899. See discussion in Section 2.5,2.5,Listed in Dark 1982 on p. 2.1.33 as RO/20 - RO/27,confirmed_1897,31,,,,,,0,true,false,false
1899.78.4.3,,Wooden shuttle needle,William Downing Webster,Purchased by the Pitt Rivers Museum from William Downing Webster in 1899. See discussion in Section 2.5,2.5,Listed in Dark 1982 on p. 2.1.33 as RO/20 - RO/27,confirmed_1897,31,,,,,,0,true,false,false
1899.78.4.4,,Wooden shuttle needle,William Downing Webster,Purchased by the Pitt Rivers Museum from William Downing Webster in 1899. See discussion in Section 2.5,2.5,Listed in Dark 1982 on p. 2.1.33 as RO/20 - RO/27,confirmed_1897,31,,,,,,0,true,false,false
1899.78.4.5,,Wooden weaving spacer,William Downing Webster,Purchased by the Pitt Rivers Museum from William Downing Webster in 1899. See discussion in Section 2.5,2.5,Listed in Dark 1982 on p. 2.1.33 as RO/20 - RO/27,confirmed_1897,31,,,,,,0,true,false,false
1899.78.4.6,,Wooden weaving spacer,William Downing Webster,Purchased by the Pitt Rivers Museum from William Downing Webster in 1899. See discussion in Section 2.5,2.5,Listed in Dark 1982 on p. 2.1.33 as RO/20 - RO/27,confirmed_1897,31,,,,,,0,true,false,false
1899.78.4.7,,Wooden weaving rod,William Downing Webster,Purchased by the Pitt Rivers Museum from William Downing Webster in 1899. See discussion in Section 2.5,2.5,Listed in Dark 1982 on p. 2.1.33 as RO/20 - RO/27,confirmed_1897,31,,,,,,0,true,false,false
1899.78.4.8,,Wooden weaving rod,William Downing Webster,Purchased from William Downing Webster in 1899. See discussion in Section 2.5,2.5,Listed in Dark 1982 on p. 2.1.33 as RO/20 - RO/27,confirmed_1897,32,,,,,,0,true,false,false
1899.86.12,,Bronze plaque with the image of a serpent,Stevens Auction Rooms,Purchased by the Pitt Rivers Museum at Stevens Auction Rooms 4 Dec 1899. See discussion in Section 2.4,2.4,"Listed in Dark 1982 on p. 2.1.32 as B8/67; Listed in Gunsch 2018, page 227",confirmed_1897,32,1899.86.12.png,Bronze plaque with the image of a serpent,Appendix 4,55,available,1,true,true,true
