id,object_id,title,inventory_number,institution,object_url,description,dating,production_place,collector,material,technique,dimensions,rights,image_url,image_page_url,image_resource_id,image_preview_url,image_file,image_missing
smb_20666,20666,Männliche Skulptur,III C 1520,Ethnologisches Museum,https://smb.museum-digital.de/object/20666?navlang=en,"Männliche Skulptur Historische Bezeichnung des Herstellungsortes: Dahomey Sammler: Bey, Heinrich",19. Jahrhundert,Benin,Heinrich Bey,"Holz, geschnitzt","Holz, geschnitzt","Höhe: 32,5 cm",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=223618&resolution=superImageResolution#3202028,https://smb.museum-digital.de/singleimage?resourcenr=24133,24133,https://smb.museum-digital.de/resources/images/201806/200w_29232141504.jpg,smb_20666.jpg,False
smb_19511,19511,Portugiese,III C 9947,Ethnologisches Museum,https://smb.museum-digital.de/object/19511?navlang=en,"Portugiese Sammler: Webster, William Downing",1533-1566,Nigeria,William Downing Webster (1868-1913),Messing,Messing,"Höhe x Breite: 49 x 38 cm; Gewicht: 7,2 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=212270&resolution=superImageResolution#7122,https://smb.museum-digital.de/singleimage?resourcenr=22978,22978,https://smb.museum-digital.de/resources/images/201806/200w_29230612599.jpg,smb_19511.jpg,False
smb_19835,19835,Trophäenkopf (Trophy head),III C 7658,Ethnologisches Museum,https://smb.museum-digital.de/object/19835?navlang=en,"Trophäenköpfe unterscheiden sich von königlichen Gedenkköpfen durch das Fehlen der Kappe aus Korallenperlen. Lediglich die Korallenketten um den Hals verweisen auf den hohen Rang des Dargestellten. Sie werden deshalb als Trophäenköpfe interpretiert, die besiegte mächtige Personen darstellen.",18.-19. Jahrhundert,Nigeria,,Messing,Messing,"Höhe x Breite x Tiefe: 21,7 x 16,6 x 20,1 cm; Gewicht: 4,7 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=210758&resolution=superImageResolution#6013,https://smb.museum-digital.de/singleimage?resourcenr=23302,23302,https://smb.museum-digital.de/resources/images/201806/200w_29230925285.jpg,smb_19835.jpg,False
smb_19711,19711,Gedenkkopf eines Königs,III C 9961,Ethnologisches Museum,https://smb.museum-digital.de/object/19711?navlang=en,"Gedenkkopf eines Königs Sammler: Meyer, Hans",1500-1590er Jahre,Nigeria,Hans Meyer(Geograph) (1858-1929),Messing,Messing,"Objektmaß: 23 x 20 x 19,5 cm",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=212274&resolution=superImageResolution#498488,https://smb.museum-digital.de/singleimage?resourcenr=23178,23178,https://smb.museum-digital.de/resources/images/201806/200w_29230821345.jpg,smb_19711.jpg,False
smb_20580,20580,Korb,III C 10427,Ethnologisches Museum,https://smb.museum-digital.de/object/20580?navlang=en,"Korb Sammler: Conradt, Leopold",Vor 1899,Nigeria,Leopold Conradt,Pflanzenfaser,Pflanzenfaser,"Höhe x Breite x Tiefe: 14,5 x 17,5 x 18 cm; Gewicht: < 0,1 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=2275149&resolution=superImageResolution#5183382,https://smb.museum-digital.de/singleimage?resourcenr=24047,24047,https://smb.museum-digital.de/resources/images/201806/200w_29232045536.jpg,smb_20580.jpg,False
smb_23371,23371,Einfellige Fasstrommel,III C 6293,Ethnologisches Museum,https://smb.museum-digital.de/object/23371?navlang=en,Einfellige Fasstrommel Historische Bezeichnung des Herstellungsortes: Dahomey Sammler: Völkerkundliches Museum Johann Friedrich Gustav Umlauff Angaben zum Herkunftsort: historische Bezeichnung: Dahomey (Königreich) heutige Bezeichnung: Benin (Republik) heutige Bezeichnung: Togo (Land),19. Jahrhundert,Benin,,"Topfspannung, Ton (gebrannt), Holz, Leder","Topfspannung, Ton (gebrannt), Holz, Leder","Höhe x Breite x Tiefe: 34,5 x 27 x 26 cm; Gewicht: ca. 3,4 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=823331&resolution=superImageResolution#758026,https://smb.museum-digital.de/singleimage?resourcenr=26892,26892,https://smb.museum-digital.de/resources/images/201806/200w_30000154956.jpg,smb_23371.jpg,False
smb_19850,19850,Krieger,III C 8404,Ethnologisches Museum,https://smb.museum-digital.de/object/19850?navlang=en,"Krieger mit Schild, Speer und rechteckiger Glocke. Überwurf aus Leopardenfell. Sammler: Bey, Heinrich",1500-1700,Nigeria,Heinrich Bey,Messing,Messing,Objektmaß: H: 32 cm B: 29 cm,CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=211941&resolution=superImageResolution#2367934,https://smb.museum-digital.de/singleimage?resourcenr=23317,23317,https://smb.museum-digital.de/resources/images/201806/200w_29230933110.jpg,smb_19850.jpg,False
smb_19463,19463,Gefäß,III C 20300,Ethnologisches Museum,https://smb.museum-digital.de/object/19463?navlang=en,"Zwei Schlangen, die einen Menschen im Maul halten, bilden die Griffe dieses Gefäßes. An seinem Hals befinden sich zwei Höflinge, die ein Medizinhorn und einen Stab in der Hand und einen Hund an einer Leine halten; dazwischen Darstellungen von Schnecken. Auf dem Deckel sieht man einen Schädel und eine Schildkröte. Die menschenverschlingenden Schlangen sind Bilder der Macht des Königs, die Schildkröte und die Hunde verweisen auf Ogun, den Gott des Krieges, dem diese Tiere geopfert werden.",18. Jahrhundert,Nigeria,,"Messing, Eisen, Guss","Messing, Eisen, Guss","Objektmaß: 25,5 x 21 x 18,5 cm; Gewicht: 3,65 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=211925&resolution=superImageResolution#6520,https://smb.museum-digital.de/singleimage?resourcenr=22930,22930,https://smb.museum-digital.de/resources/images/201806/200w_29230547096.jpg,smb_19463.jpg,False
smb_19644,19644,Menschliche Figur mit vorgestreckten Händen,III C 8181,Ethnologisches Museum,https://smb.museum-digital.de/object/19644?navlang=en,"Nach der Kleidung und der Stirntätowierung handelt es sich um einen Edo, aber um eine Person ohne besonderen Rang in der Hofhierarchie und damit um eine der wenigen Darstellungen der nicht-höfischen Bevölkerung Benins. Die Handhaltung ist ungewöhnlich und in ihrer Bedeutung unklar. Als Plastik aus Messing dürfte sie wohl auf einem Gedenkaltar gestanden haben. Sammler: Schmidt, Eduard",18.-19. Jahrhundert,Nigeria,Eduard Schmidt (Konsul) (1860-1899),Messing,Messing,"Objektmaß: 45,1 x 14,7 x 13,1 cm (Messung am Objekt); Gewicht: 8,9 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=210969&resolution=superImageResolution#6129,https://smb.museum-digital.de/singleimage?resourcenr=23111,23111,https://smb.museum-digital.de/resources/images/201806/200w_29230739700.jpg,smb_19644.jpg,False
smb_19596,19596,Gedenkkopf eines Königs,III C 8202,Ethnologisches Museum,https://smb.museum-digital.de/object/19596?navlang=en,"Die aus dieser Zeit in größerer Zahl erhaltenen Gedenkköpfe sind stark formalisiert. Ihre Gesichter sind weitgehend identisch, die königlichen Insignien dagegen stärker ausgearbeitet, ihre Formen variieren. Gemeinsam ist allen die aus Korallenperlen bestehende Kappe. Diese Grundform wird variiert durch verschiedene Zugaben, wie an den Seiten angebrachte Korallenperlen, flügelähnliche Aufsätze und gebogene Stege aus Korallenperlen, die sich bis an die Augen vor das Gesicht schieben. Verschiedene Motive auf einer Plinthe um die Basis verweisen auf die spirituelle Macht des Königs. Gleichzeitig werden die Köpfe größer und ihre Wanddicke wird erheblich stärker. Auf den Altären des 18. und 19. Jahrhunderts dienen die Gedenkköpfe nämlich zugleich als Basis für große Elefantenzähne, die mit Motiven beschnitzt sind, die in der frühen Zeit Benins, im 16. und 17 Jahrhundert, auf den Reliefplatten dargestellt waren. Sammler: Schmidt, Eduard",18.-19. Jahrhundert,Nigeria,Eduard Schmidt (Konsul) (1860-1899),Messing; Eisen,Messing; Eisen,"Höhe x Durchmesser: 45,5 x 29 cm; Gewicht: 25 kg; Wandstärke: ca. 11 mm",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=211088&resolution=superImageResolution#498472,https://smb.museum-digital.de/singleimage?resourcenr=23063,23063,https://smb.museum-digital.de/resources/images/201806/200w_29230713141.jpg,smb_19596.jpg,False
smb_19685,19685,Portugiese mit Dreizack,III C 8358,Ethnologisches Museum,https://smb.museum-digital.de/object/19685?navlang=en,"Portugiese mit Dreizack Sammler: Bey, Heinrich",1500-1700,Nigeria,Heinrich Bey,Messing; Guss,Messing; Guss,"Objektmaß: H: 43 cm B: 33 cm G.: 10,9 kg; Objektmaß: 43,4 x 33,2 x 5,2 cm",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=211189&resolution=superImageResolution#6249,https://smb.museum-digital.de/singleimage?resourcenr=23152,23152,https://smb.museum-digital.de/resources/images/201806/200w_29230804513.jpg,smb_19685.jpg,False
smb_19399,19399,Ekpokin,"III C 8500 a,b",Ethnologisches Museum,https://smb.museum-digital.de/object/19399?navlang=en,"Bei einer Reihe von Zeremonien im Palast wurden dem König von Würdenträgern Gaben in solchen Behältern überreicht. Sie bestanden aus Baumrinde und waren mit Fell überzogen. Bei einer weiteren Reliefplatte in dieser Ausstellung erkennt man an der Musterung des Behälters, dass es sich um Leopardenfell handelte. Der ẹkpokin-Behälter aus Messing ist der einzige seiner Art. Aufgrund des Materials stammt er wohl aus königlichem Besitz. Es könnte sich um ein emblematisches Objekt handeln, das nicht für den unmittelbaren Gebrauch hergestellt wurde, sondern wie viele vergleichbare Gegenstände aus Messing (Früchte, Köpfe von Opfertieren) die mit ihnen verbundenen Zeremonien verbildlichten. Sammler: Bey, Heinrich",18.-19. Jahrhundert,Nigeria,Heinrich Bey,"Messing, Guss","Messing, Guss","Objektmaß: 13,5 x 21,7 x 21,5 cm (Gesamtmaß); Höhe x Breite x Tiefe: a) 13 x 21,7 x 21,5 cm; Höhe x Breite x Tiefe: b) 13 x 20 x 20 cm; Gewicht: 3,05 kg (Gesamtgewicht); Gewicht: a) 1,75 kg; Gewicht: b) 1,35 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=212792&resolution=superImageResolution#1334146,https://smb.museum-digital.de/singleimage?resourcenr=22866,22866,https://smb.museum-digital.de/resources/images/201806/200w_29230508220.jpg,smb_19399.jpg,False
smb_19923,19923,Amufi-Akrobat ?,III C 8425,Ethnologisches Museum,https://smb.museum-digital.de/object/19923?navlang=en,"Vom Kopf herabhängende lange Stoffstreifen finden man auch auf einer Reliefplatte mit der Darstellung der Amufi-Zeremonie, bei der sich Akrobaten an langen Seilen von Bäumen herabschwingen. Sammler: Bey, Heinrich",1500-1700,Nigeria,Heinrich Bey,Messing,Messing,Objektmaß: H: 35 cm B: 15 cm,CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=212023&resolution=superImageResolution#2367955,https://smb.museum-digital.de/singleimage?resourcenr=23390,23390,https://smb.museum-digital.de/resources/images/201806/200w_29231015451.jpg,smb_19923.jpg,False
smb_19395,19395,Würdenträger mit Schild und Pfeilen,III C 10879,Ethnologisches Museum,https://smb.museum-digital.de/object/19395?navlang=en,"Würdenträger mit Schild und Pfeilen Sammler: Meyer, Hans",1501-1550,Nigeria,Hans Meyer(Geograph) (1858-1929),Messing,Messing,"Objektmaß: 37,5 x 37 x 4 cm (Messung am Objekt); Gewicht: 7 kg (ca.)",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=212293&resolution=superImageResolution#7147,https://smb.museum-digital.de/singleimage?resourcenr=22862,22862,https://smb.museum-digital.de/resources/images/201806/200w_29230506516.jpg,smb_19395.jpg,False
smb_19571,19571,Portugiese,III C 8357,Ethnologisches Museum,https://smb.museum-digital.de/object/19571?navlang=en,"Portugiese mit Lanze und Flasche Sammler: Bey, Heinrich",1500-1700,Nigeria,Heinrich Bey,Messing,Messing,"Höhe x Breite: 48,5 x 31 cm; Gewicht: 13,5 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=211188&resolution=superImageResolution#2367904,https://smb.museum-digital.de/singleimage?resourcenr=23038,23038,https://smb.museum-digital.de/resources/images/201806/200w_29230655608.jpg,smb_19571.jpg,False
smb_19411,19411,König mit Begleitfiguren,III C 8056,Ethnologisches Museum,https://smb.museum-digital.de/object/19411?navlang=en,"König zu Pferd mit sechs Begleitern. Der Reiter wird als König Esigie (ca. 1505 – 1550) gedeutet, der enge Beziehungen zu Portugal unterhielt. Als portugiesische Geschenke kamen auch Pferde an den Hof von Benin. Die Proportionen von Pferd und dem seitlich auf ihm sitzenden Reiter sowie die der Begleitfiguren folgen nicht der Realität, sondern der Bedeutung der Dargestellten.",1550-1600,Nigeria,,"Messing, Guss","Messing, Guss","Höhe x Breite x Tiefe: 48 x 39 x 16 cm; Gewicht: 14,8 kg",CC BY-NC-SA,http://www.smb-digital.de/eMuseumPlus?service=ImageAsset&module=collection&objectId=210443&resolution=superImageResolution#5631,https://smb.museum-digital.de/singleimage?resourcenr=22878,22878,https://smb.museum-digital.de/resources/images/201806/200w_29230516960.jpg,smb_19411.jpg,False
