accession_number,title,description,provenance,section,image_file,page_number,has_description,has_provenance,has_section,has_image,data_quality
,,,Unknown,2.21,,,False,True,True,False,2
2011.21.1,,,,,page_192.png,192.0,False,False,False,True,1
1917.38.2,Bronze bell,Bronze bell,Beatrice Braithwaite Batty,2.14,page_116.png,116.0,True,True,True,True,4
1900.39.17,Iron armlet,Iron armlet,Mary Henrietta Kingsley,2.3,page_076.png,76.0,True,True,True,True,4
1898.26.1.1,Brass powder cylinder,Brass powder cylinder,,,page_053.png,53.0,True,False,False,True,2
1901.32.9,,,,,page_009.png,9.0,False,False,False,True,1
1904.59.19,,,,,page_010.png,10.0,False,False,False,True,1
1918.9.25,,,,,page_011.png,11.0,False,False,False,True,1
1899.78.4.1,Wooden weaving sword,Wooden weaving sword,William Downing Webster,2.5,page_054.png,54.0,True,True,True,True,4
1901.54.2,Bronze weight,Bronze weight,,,page_097.png,97.0,True,False,False,True,2
1909.67.33,,,,,page_182.png,182.0,False,False,False,True,1
1901.53.4,Bronze pellet bell,Bronze pellet bell,,,page_092.png,92.0,True,False,False,True,2
1991.13.4,Ivory ladle with inlaid bronze and a bronze human figure on the handle,Ivory ladle with inlaid bronze and a bronze human figure on the handle,,,page_137.png,137.0,True,False,False,True,2
1902.52.1,,,,,page_179.png,179.0,False,False,False,True,1
1991.13.30,,,,,page_228.png,228.0,False,False,False,True,1
1900.1.4,Wooden sansa-type,Wooden sansa-type,,,page_057.png,57.0,True,False,False,True,2
1935.25.36,,,,,page_011.png,11.0,False,False,False,True,1
1899.86.12,Bronze plaque with the,Bronze plaque with the,,,page_055.png,55.0,True,False,False,True,2
1900.39.20,Ivory hip-ornament,Ivory hip-ornament,Mary Henrietta Kingsley,2.3,page_079.png,79.0,True,True,True,True,4
1900.39.19,Ivory armlet,Ivory armlet,Mary Henrietta Kingsley,2.3,page_078.png,78.0,True,True,True,True,4
1991.13.27.2,,,,,page_161.png,161.0,False,False,False,True,1
1900.39.26,Carved coconut vessel,Carved coconut vessel,Mary Henrietta Kingsley,2.3,page_085.png,85.0,True,True,True,True,4
2012.103.13,,,,,page_194.png,194.0,False,False,False,True,1
1922.56.19.1,,,,,page_009.png,9.0,False,False,False,True,1
1941.2.117,Bronze Bell,Bronze Bell,Cranmore Ethnographical Museum,2.9,page_120.png,120.0,True,True,True,True,4
1991.13.41,Perforated agate bead,Perforated agate bead,,,page_171.png,171.0,True,False,False,True,2
1901.56.1,Bronze pendant from a,Bronze pendant from a,,,page_098.png,98.0,True,False,False,True,2
1900.74.2,Brass armlet with,Brass armlet with,George Fabian Lawrence,2.1,page_088.png,88.0,True,True,True,True,4
1899.78.4.4,Wooden shuttle needle,Wooden shuttle needle,William Downing Webster,2.5,page_054.png,54.0,True,True,True,True,4
1900.39.14,Copper armlet with,Copper armlet with,Mary Henrietta Kingsley,2.3,page_073.png,73.0,True,True,True,True,4
1991.13.21,Gilded bronze cone-shaped hip ornament,Gilded bronze cone-shaped hip ornament,,,page_155.png,155.0,True,False,False,True,2
1983.25.2,Brass hip-ornament,Brass hip-ornament,Harold Mordley Douglas,2.11,page_132.png,132.0,True,True,True,True,4
2019.32.1,,,,,page_028.png,28.0,False,False,False,True,1
1966.13.1,Bronze head,Bronze head,,,page_126.png,126.0,True,False,False,True,2
1901.32.8,,,,,page_009.png,9.0,False,False,False,True,1
1967.45.1,,,,,page_187.png,187.0,False,False,False,True,1
1991.13.42,Perforated agate bead,Perforated agate bead,,,page_172.png,172.0,True,False,False,True,2
1909.61.3,Bronze imitation of a,Bronze imitation of a,William John Ansorge,2.6,page_109.png,109.0,True,True,True,True,4
1991.13.29,,,,,page_227.png,227.0,False,False,False,True,1
1900.39.18,Bronze cone-shaped,Bronze cone-shaped,Mary Henrietta Kingsley,2.3,page_077.png,77.0,True,True,True,True,4
1978.412.340,,,,,page_016.png,16.0,False,False,False,True,1
1908.65.1,Brass plaque with relief,Brass plaque with relief,,,page_103.png,103.0,True,False,False,True,2
1991.12.26,,,,,page_016.png,16.0,False,False,False,True,1
1904.59.15,,,,,page_010.png,10.0,False,False,False,True,1
1970.16.1,,,,,page_188.png,188.0,False,False,False,True,1
1946.6.80,Bronze bell,Bronze bell,Mervyn David Waldegrave Jeffreys,2.19,page_124.png,124.0,True,True,True,True,4
1900.39.2,Brass relief plaque,Brass relief plaque,Mary Henrietta Kingsley,2.3,page_061.png,61.0,True,True,True,True,4
1913.48.122,,,,,page_009.png,9.0,False,False,False,True,1
1932.88.863,Bronze lamp,Bronze lamp,William Downing Webster,2.5,page_117.png,117.0,True,True,True,True,4
1991.13.43,Perforated agate bead,Perforated agate bead,,,page_172.png,172.0,True,False,False,True,2
1991.13.2,Carved ivory tusk,Carved ivory tusk,,,page_136.png,136.0,True,False,False,True,2
1991.13.8,"Brass relief plaque depicting three figures, the central on holding a","Brass relief plaque depicting three figures, the central on holding a",,,page_141.png,141.0,True,False,False,True,2
1991.13.44,Perforated agate bead,Perforated agate bead,,,page_049.png,49.0,True,False,False,True,2
