"source_image","candidate_image","phash_distance","dhash_distance","edge_distance","visual_distance","orb_keypoints_source","orb_keypoints_candidate","orb_good_matches","orb_inlier_matches","orb_score","combined_score","match_band"
"C:\Users\ron\Documents\project\images\fig_330.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.4.png","18","18","12","16.5","341","2433","11","5","0.01466","84.96628","possible"
"C:\Users\ron\Documents\project\images\fig_330h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.4.png","18","17","14","16.75","1521","2433","25","0","0.0","83.25","possible"
"C:\Users\ron\Documents\project\images\fig_142.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.3.png","14","16","28","18.0","1668","2224","11","5","0.003","82.29976","possible"
"C:\Users\ron\Documents\project\images\fig_296.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117.png","20","14","19","18.25","1554","2500","7","4","0.00257","82.0074","weak"
"C:\Users\ron\Documents\project\images\fig_279.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png","14","15","31","18.5","1654","2500","10","5","0.00302","81.8023","weak"
"C:\Users\ron\Documents\project\images\fig_279h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png","14","15","32","18.75","2500","2500","12","4","0.0016","81.41","weak"
"C:\Users\ron\Documents\project\images\fig_296h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117.png","20","14","21","18.75","2500","2500","7","4","0.0016","81.41","weak"
"C:\Users\ron\Documents\project\images\fig_339.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117.png","20","22","13","18.75","291","2500","1","0","0.0","81.25","weak"
"C:\Users\ron\Documents\project\images\fig_290.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.2.png","16","19","26","19.25","1962","2476","8","4","0.00204","80.95387","weak"
"C:\Users\ron\Documents\project\images\fig_378.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.3.png","18","19","25","20.0","421","2485","4","4","0.0095","80.95012","weak"
"C:\Users\ron\Documents\project\images\fig_256h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.1.2.png","16","19","27","19.5","1435","2320","7","4","0.00279","80.77875","weak"
"C:\Users\ron\Documents\project\images\fig_261.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117.png","18","22","21","19.75","1115","2500","8","5","0.00448","80.69843","weak"
"C:\Users\ron\Documents\project\images\fig_261h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117.png","18","22","21","19.75","2040","2500","17","6","0.00294","80.54412","weak"
"C:\Users\ron\Documents\project\images\fig_378h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.36.png","20","16","23","19.75","1893","2500","20","5","0.00264","80.51413","weak"
"C:\Users\ron\Documents\project\images\fig_292.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.34.png","18","13","30","19.75","2437","2424","4","4","0.00165","80.41502","weak"
"C:\Users\ron\Documents\project\images\fig_025.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.124.png","18","19","24","19.75","2474","2500","7","4","0.00162","80.41168","weak"
"C:\Users\ron\Documents\project\images\fig_025h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.124.png","18","19","24","19.75","2500","2500","6","4","0.0016","80.41","weak"
"C:\Users\ron\Documents\project\images\fig_116.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.2.png","20","22","18","20.0","1532","2476","10","4","0.00261","80.2611","weak"
"C:\Users\ron\Documents\project\images\fig_256.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.1.2.png","16","19","28","19.75","22","2320","0","0","0.0","80.25","weak"
"C:\Users\ron\Documents\project\images\fig_339h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117.png","20","22","19","20.25","1431","2500","4","4","0.0028","80.02952","weak"
"C:\Users\ron\Documents\project\images\fig_038.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16.png","14","21","34","20.75","1347","1985","6","4","0.00297","79.54696","weak"
"C:\Users\ron\Documents\project\images\fig_104h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.20.png","20","31","11","20.5","239","1336","2","0","0.0","79.5","weak"
"C:\Users\ron\Documents\project\images\fig_323.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png","18","25","22","20.75","2029","2500","4","4","0.00197","79.44714","weak"
"C:\Users\ron\Documents\project\images\fig_286.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.8.png","18","12","35","20.75","2436","2500","6","4","0.00164","79.4142","weak"
"C:\Users\ron\Documents\project\images\fig_166h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.17.1.png","18","22","26","21.0","2137","2453","10","6","0.00281","79.28077","weak"
"C:\Users\ron\Documents\project\images\fig_286h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.8.png","18","12","37","21.25","2500","2500","8","5","0.002","78.95","weak"
"C:\Users\ron\Documents\project\images\fig_104.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.20.png","20","33","12","21.25","0","1336","0","0","0.0","78.75","weak"
"C:\Users\ron\Documents\project\images\fig_166.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.17.1.png","18","23","26","21.25","721","2453","7","0","0.0","78.75","weak"
"C:\Users\ron\Documents\project\images\fig_028.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.5.png","20","23","23","21.5","1892","2176","9","4","0.00211","78.71142","weak"
"C:\Users\ron\Documents\project\images\fig_161h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.5.png","18","13","37","21.5","2478","2500","5","4","0.00161","78.66142","weak"
"C:\Users\ron\Documents\project\images\fig_007h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.33.png","18","17","33","21.5","2500","2500","8","4","0.0016","78.66","weak"
"C:\Users\ron\Documents\project\images\fig_194.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.3.png","18","22","29","21.75","1269","2382","7","4","0.00315","78.56521","weak"
"C:\Users\ron\Documents\project\images\fig_028h.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.39.5.png","20","23","23","21.5","2500","2176","3","0","0.0","78.5","weak"
"C:\Users\ron\Documents\project\images\fig_241.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1900.74.2.png","22","23","20","21.75","1835","2500","4","4","0.00218","78.46798","weak"
"C:\Users\ron\Documents\project\images\fig_161.jpg","C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1991.13.16.png","18","24","28","22.0","1396","1985","10","6","0.0043","78.4298","weak"
