source_image,candidate_image,phash_distance,dhash_distance,edge_distance,visual_distance,orb_keypoints_source,orb_keypoints_candidate,orb_good_matches,orb_inlier_matches,orb_score,combined_score,match_band
C:\Users\ron\Documents\project\images\fig_330.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.4.png,18,18,12,16.5,341,2433,11,5,0.01466,84.96628,possible
C:\Users\ron\Documents\project\images\fig_330.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.4_1.png,18,18,12,16.5,341,2433,11,5,0.01466,84.96628,possible
C:\Users\ron\Documents\project\images\fig_330h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.4.png,18,17,14,16.75,1521,2433,25,0,0.0,83.25,possible
C:\Users\ron\Documents\project\images\fig_330h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.4_1.png,18,17,14,16.75,1521,2433,25,0,0.0,83.25,possible
C:\Users\ron\Documents\project\images\fig_142.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.3.png,14,16,28,18.0,1668,2224,11,5,0.003,82.29976,possible
C:\Users\ron\Documents\project\images\fig_142.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1901.53.3_1.png,14,16,28,18.0,1668,2224,11,5,0.003,82.29976,possible
C:\Users\ron\Documents\project\images\fig_296.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117.png,20,14,19,18.25,1554,2500,7,4,0.00257,82.0074,weak
C:\Users\ron\Documents\project\images\fig_296.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117_1.png,20,14,19,18.25,1554,2500,7,4,0.00257,82.0074,weak
C:\Users\ron\Documents\project\images\fig_330.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.4.png,20,22,15,19.25,341,2498,4,4,0.01173,81.92302,weak
C:\Users\ron\Documents\project\images\fig_330.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.4_1.png,20,22,15,19.25,341,2498,4,4,0.01173,81.92302,weak
C:\Users\ron\Documents\project\images\fig_279.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png,14,15,31,18.5,1654,2500,10,5,0.00302,81.8023,weak
C:\Users\ron\Documents\project\images\fig_279.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3_1.png,14,15,31,18.5,1654,2500,10,5,0.00302,81.8023,weak
C:\Users\ron\Documents\project\images\fig_279h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3.png,14,15,32,18.75,2500,2500,12,4,0.0016,81.41,weak
C:\Users\ron\Documents\project\images\fig_279h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1908.41.3_1.png,14,15,32,18.75,2500,2500,12,4,0.0016,81.41,weak
C:\Users\ron\Documents\project\images\fig_296h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117.png,20,14,21,18.75,2500,2500,7,4,0.0016,81.41,weak
C:\Users\ron\Documents\project\images\fig_296h.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117_1.png,20,14,21,18.75,2500,2500,7,4,0.0016,81.41,weak
C:\Users\ron\Documents\project\images\fig_339.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117.png,20,22,13,18.75,291,2500,1,0,0.0,81.25,weak
C:\Users\ron\Documents\project\images\fig_339.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1941.2.117_1.png,20,22,13,18.75,291,2500,1,0,0.0,81.25,weak
C:\Users\ron\Documents\project\images\fig_290.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.2.png,16,19,26,19.25,1962,2476,8,4,0.00204,80.95387,weak
C:\Users\ron\Documents\project\images\fig_290.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.2_1.png,16,19,26,19.25,1962,2476,8,4,0.00204,80.95387,weak
C:\Users\ron\Documents\project\images\fig_378.jpg,C:\Users\ron\Documents\project\digital-benin-bloom\public\benin_output\atlas\oxford\1909.61.3.png,18,19,25,20.0,421,2485,4,4,0.0095,80.95012,weak
